feature,importance
Destination Port,0.07099385236900628
Fwd Packet Length Min,0.051603611966115286
Bwd Packet Length Min,0.04908177899287014
Init_Win_bytes_backward,0.047229945332121624
Packet Length Variance,0.04464094183572127
Average Packet Size,0.04364235709463987
Max Packet Length,0.042557024264189516
Init_Win_bytes_forward,0.041018165119519494
Fwd Packet Length Max,0.035545896607229614
Avg Bwd Segment Size,0.03343100869334891
Bwd Packet Length Max,0.03050847526724273
Bwd Packet Length Std,0.030223180059597243
Packet Length Mean,0.028623886801439506
Bwd Packet Length Mean,0.02826038216258979
Total Length of Fwd Packets,0.02667737491249734
Packet Length Std,0.025169845687252265
Subflow Fwd Bytes,0.025104681279222763
Min Packet Length,0.024554482511739816
Avg Fwd Segment Size,0.02336847149852809
Fwd Header Length,0.02191942832655259
Fwd Packet Length Mean,0.020268380864915732
Bwd Header Length,0.018131866904182444
Subflow Bwd Bytes,0.017947370334245417
Total Length of Bwd Packets,0.014955417616159854
URG Flag Count,0.012683499917311996
Subflow Bwd Packets,0.012227503241311529
Bwd Packets/s,0.012123962139870865
Subflow Fwd Packets,0.011400389781749128
Total Backward Packets,0.010696182054054653
min_seg_size_forward,0.010118140736456543
Total Fwd Packets,0.009432877332994553
Fwd IAT Min,0.009363246258990049
PSH Flag Count,0.008276063581392159
Fwd IAT Max,0.007811929419868156
Fwd IAT Total,0.006914345118408328
Flow Bytes/s,0.006731149825467716
Flow Packets/s,0.006658454892414684
Flow IAT Mean,0.006501364738530635
act_data_pkt_fwd,0.0063207293056354785
Fwd IAT Std,0.006014079883021809
Fwd IAT Mean,0.005593045057940025
Flow IAT Max,0.004948060592081495
Fwd Packet Length Std,0.0048017126582261364
Bwd IAT Mean,0.004681729225119098
Flow IAT Std,0.004672372409973088
Flow Duration,0.00440816968742886
Flow IAT Min,0.0041751822625775
Bwd IAT Total,0.003908032448338725
Fwd Packets/s,0.003361632732166417
ACK Flag Count,0.003119414895122749
Bwd IAT Max,0.0027698041478667777
Active Std,0.0018455966993680278
Idle Min,0.0014543965958379312
Bwd IAT Std,0.001421865919717681
FIN Flag Count,0.0013650661822824654
Idle Max,0.0013149093811911918
Active Max,0.0012807033925834417
Idle Mean,0.0012523818433020227
Active Min,0.0012482471988893844
Down/Up Ratio,0.0010442101048435232
Bwd IAT Min,0.0009306816805570244
Active Mean,0.0008689061765912923
SYN Flag Count,0.00047741315714379786
Fwd PSH Flags,0.00020952961445554953
Idle Std,9.862797293917118e-05
Fwd URG Flags,9.586549740511293e-06
CWE Flag Count,6.976685310432284e-06
RST Flag Count,1.756665397831352e-21
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
