collection,file,scenario_key,size_mb,physical_rows,valid_rows,empty_rows,columns,unique_columns,predictive_columns_before_cleaning,duplicate_header_names,label_column,missing_cells,infinite_values,schema_sha256,status
machine_learning,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,friday-workinghours-afternoon-ddos,73.55,225745,225745,0,79,78,78,Fwd Header Length,Label,4,64,f4c1c8c0891bd58ce28681d77b207003bc12827a9335109f929795d6ed507e47,OK
machine_learning,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,friday-workinghours-afternoon-portscan,73.34,286467,286467,0,79,78,78,Fwd Header Length,Label,15,727,f4c1c8c0891bd58ce28681d77b207003bc12827a9335109f929795d6ed507e47,OK
machine_learning,Friday-WorkingHours-Morning.pcap_ISCX.csv,friday-workinghours-morning,55.62,191033,191033,0,79,78,78,Fwd Header Length,Label,28,216,f4c1c8c0891bd58ce28681d77b207003bc12827a9335109f929795d6ed507e47,OK
machine_learning,Monday-WorkingHours.pcap_ISCX.csv,monday-workinghours,168.73,529918,529918,0,79,78,78,Fwd Header Length,Label,64,810,f4c1c8c0891bd58ce28681d77b207003bc12827a9335109f929795d6ed507e47,OK
machine_learning,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,thursday-workinghours-afternoon-infilteration,79.25,288602,288602,0,79,78,78,Fwd Header Length,Label,18,396,f4c1c8c0891bd58ce28681d77b207003bc12827a9335109f929795d6ed507e47,OK
machine_learning,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,thursday-workinghours-morning-webattacks,49.61,170366,170366,0,79,78,78,Fwd Header Length,Label,20,250,f4c1c8c0891bd58ce28681d77b207003bc12827a9335109f929795d6ed507e47,OK
machine_learning,Tuesday-WorkingHours.pcap_ISCX.csv,tuesday-workinghours,128.82,445909,445909,0,79,78,78,Fwd Header Length,Label,201,327,f4c1c8c0891bd58ce28681d77b207003bc12827a9335109f929795d6ed507e47,OK
machine_learning,Wednesday-workingHours.pcap_ISCX.csv,wednesday-workinghours,214.74,692703,692703,0,79,78,78,Fwd Header Length,Label,1008,1586,f4c1c8c0891bd58ce28681d77b207003bc12827a9335109f929795d6ed507e47,OK
generated_flows,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,friday-workinghours-afternoon-ddos,91.65,225745,225745,0,85,84,84,Fwd Header Length,Label,4,64,8e607b34a9dbc40d8357d973ad1aa75057085e59f4259f51f60152ddb04fea5d,OK
generated_flows,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,friday-workinghours-afternoon-portscan,97.16,286467,286467,0,85,84,84,Fwd Header Length,Label,15,727,8e607b34a9dbc40d8357d973ad1aa75057085e59f4259f51f60152ddb04fea5d,OK
generated_flows,Friday-WorkingHours-Morning.pcap_ISCX.csv,friday-workinghours-morning,71.89,191033,191033,0,85,84,84,Fwd Header Length,Label,28,216,8e607b34a9dbc40d8357d973ad1aa75057085e59f4259f51f60152ddb04fea5d,OK
generated_flows,Monday-WorkingHours.pcap_ISCX.csv,monday-workinghours,256.2,529918,529918,0,85,84,84,Fwd Header Length,Label,64,810,8e607b34a9dbc40d8357d973ad1aa75057085e59f4259f51f60152ddb04fea5d,OK
generated_flows,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,thursday-workinghours-afternoon-infilteration,103.69,288602,288602,0,85,84,84,Fwd Header Length,Label,18,396,8e607b34a9dbc40d8357d973ad1aa75057085e59f4259f51f60152ddb04fea5d,OK
generated_flows,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,thursday-workinghours-morning-webattacks,87.77,458968,170366,288602,85,84,84,Fwd Header Length,Label,20,250,8e607b34a9dbc40d8357d973ad1aa75057085e59f4259f51f60152ddb04fea5d,OK
generated_flows,Tuesday-WorkingHours.pcap_ISCX.csv,tuesday-workinghours,166.6,445909,445909,0,85,84,84,Fwd Header Length,Label,201,327,8e607b34a9dbc40d8357d973ad1aa75057085e59f4259f51f60152ddb04fea5d,OK
generated_flows,Wednesday-workingHours.pcap_ISCX.csv,wednesday-workinghours,272.41,692703,692703,0,85,84,84,Fwd Header Length,Label,1008,1586,8e607b34a9dbc40d8357d973ad1aa75057085e59f4259f51f60152ddb04fea5d,OK
