collection,source_file,scenario,output_file,input_rows,valid_rows,empty_rows_dropped,input_columns,output_columns,feature_count,duplicate_columns_dropped,duplicate_columns_mismatched,missing_feature_values_after_cleaning,infinity_values_replaced,non_numeric_values_coerced,alignment_sha256,status
machine_learning,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,friday-workinghours-afternoon-ddos,C:\Users\esumi\AI-NIDS-Project\data\processed\machine_learning\Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.parquet,225745,225745,0,79,84,77,Fwd Header Length.1,,68,64,0,ef19542ea8f6b93decd5edba110cfbbc13ff6fc73017cef56006abaa79ff7adc,OK
machine_learning,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,friday-workinghours-afternoon-portscan,C:\Users\esumi\AI-NIDS-Project\data\processed\machine_learning\Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.parquet,286467,286467,0,79,84,77,Fwd Header Length.1,,742,727,0,0a7ac1fdce477001e486aa508a72e069c75cea35bee28790c25b9ffc7a746cf3,OK
machine_learning,Friday-WorkingHours-Morning.pcap_ISCX.csv,friday-workinghours-morning,C:\Users\esumi\AI-NIDS-Project\data\processed\machine_learning\Friday-WorkingHours-Morning.pcap_ISCX.parquet,191033,191033,0,79,84,77,Fwd Header Length.1,,244,216,0,461e15d8d87ba4b5d6bdcc3e847c9fa78e71a9d4219f8ec6204acd065de786d0,OK
machine_learning,Monday-WorkingHours.pcap_ISCX.csv,monday-workinghours,C:\Users\esumi\AI-NIDS-Project\data\processed\machine_learning\Monday-WorkingHours.pcap_ISCX.parquet,529918,529918,0,79,84,77,Fwd Header Length.1,,874,810,0,d8404ff2e0e65e16cb940b64b044fc66c5ddfbe34a8e10c9ce80fd93d6a47b74,OK
machine_learning,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,thursday-workinghours-afternoon-infilteration,C:\Users\esumi\AI-NIDS-Project\data\processed\machine_learning\Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.parquet,288602,288602,0,79,84,77,Fwd Header Length.1,,414,396,0,cb625e7e08b9e730205cc3ad948c793f2b24ff5515705206135c1683f861aa19,OK
machine_learning,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,thursday-workinghours-morning-webattacks,C:\Users\esumi\AI-NIDS-Project\data\processed\machine_learning\Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.parquet,170366,170366,0,79,84,77,Fwd Header Length.1,,270,250,0,ed9e0108a8366daea9499fb9a21942b1941c44311dcaee5bbb742b17956ed420,OK
machine_learning,Tuesday-WorkingHours.pcap_ISCX.csv,tuesday-workinghours,C:\Users\esumi\AI-NIDS-Project\data\processed\machine_learning\Tuesday-WorkingHours.pcap_ISCX.parquet,445909,445909,0,79,84,77,Fwd Header Length.1,,528,327,0,c68888fea1567f2f76ab78232d4f9a9c6359e1fc363197e43ec20f1dd658b553,OK
machine_learning,Wednesday-workingHours.pcap_ISCX.csv,wednesday-workinghours,C:\Users\esumi\AI-NIDS-Project\data\processed\machine_learning\Wednesday-workingHours.pcap_ISCX.parquet,692703,692703,0,79,84,77,Fwd Header Length.1,,2594,1586,0,8c1a791781fe5ac18cb48384562683bd19acbcb31ebd0b9f861462de92cc0c0f,OK
generated_flows,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,friday-workinghours-afternoon-ddos,C:\Users\esumi\AI-NIDS-Project\data\processed\generated_context\Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.parquet,225745,225745,0,85,14,0,,,0,0,0,ef19542ea8f6b93decd5edba110cfbbc13ff6fc73017cef56006abaa79ff7adc,OK
generated_flows,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,friday-workinghours-afternoon-portscan,C:\Users\esumi\AI-NIDS-Project\data\processed\generated_context\Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.parquet,286467,286467,0,85,14,0,,,0,0,0,0a7ac1fdce477001e486aa508a72e069c75cea35bee28790c25b9ffc7a746cf3,OK
generated_flows,Friday-WorkingHours-Morning.pcap_ISCX.csv,friday-workinghours-morning,C:\Users\esumi\AI-NIDS-Project\data\processed\generated_context\Friday-WorkingHours-Morning.pcap_ISCX.parquet,191033,191033,0,85,14,0,,,0,0,0,461e15d8d87ba4b5d6bdcc3e847c9fa78e71a9d4219f8ec6204acd065de786d0,OK
generated_flows,Monday-WorkingHours.pcap_ISCX.csv,monday-workinghours,C:\Users\esumi\AI-NIDS-Project\data\processed\generated_context\Monday-WorkingHours.pcap_ISCX.parquet,529918,529918,0,85,14,0,,,0,0,0,d8404ff2e0e65e16cb940b64b044fc66c5ddfbe34a8e10c9ce80fd93d6a47b74,OK
